name,latitude,longitude,type,color
Schwerin-Obotritenring,53.6354785,11.4005532,16,4990E2
Leizen,53.3656956,12.4762859,10,4990E2
Stralsund-Knieperdamm,54.3192951,13.0810475,32,4990E2
Garz,54.3195842,13.3516021,68,4990E2
Rostock-Hohe Düne,54.1775438,12.1162722,57,4990E2
Braunschweig,52.2639962,10.5252669,69,4990E2
Oker/Harlingerode,51.9470145,10.5361387,33,4990E2
Wolfsburg,52.4205588,10.7861682,12,4990E2
Eichsfeld,51.4758395,7.488074,68,4990E2
Ostfriesland,53.2473626,7.463142346,19,4990E2
Jadebusen,53.461809,8.195571602,29,4990E2
Osnabrück,52.2668373,8.0497412,34,4990E2
Weserbergland,51.6957042,9.566981,16,4990E2
Göttingen,51.5327604,9.9352051,29,4990E2
Emsland,52.6987679,7.366032186,26,4990E2
Hannover Verkehr,52.34726005,9.716289849,21,4990E2
Wurmberg,48.8702888,8.8201671,28,4990E2
Allertal,52.4994421,10.4094346,49,4990E2
Südoldenburg,53.12707,8.212561,41,4990E2
Hannover,52.3744779,9.7385532,20,4990E2
Ostfries. Inseln,53.744027,7.523078,36,4990E2
Elbmündung,53.863218,9.283934,22,4990E2
Wendland,52.9686666,11.1567634,73,4990E2
Lüneburger Heide,53.0123276,9.931449,4,4990E2
Altes Land,53.5282999,9.6610757,23,4990E2
Osnabrück-Verkehr,52.2542303,8.0472173,36,4990E2
Göttingen-Verkehr,51.5253887,9.9481649,36,4990E2
Salzgitter-Drütte,52.153147,10.4595137,25,4990E2
Barbis Verkehrsgesellschaft,49.539861,8.154239,28,4990E2
Braunschweig-Verkehr,52.3145208,10.5420884,19,4990E2
Solling-Süd,51.5255631,9.8974699,42,4990E2
Oldenburg Heiligengeistwall,53.1431928,8.2129726,43,4990E2
Wolfsburg Heßlinger Straße,52.4277079,10.7935996,211,4990E2
Datteln-Hagem,51.6425469,7.311161455,60,4990E2
Lünen-Niederaden,51.5928017,7.5661392,16,4990E2
Dortmund-Eving,51.5481277,7.4650456,20,4990E2
Unna-Königsborn,51.553263,7.687599,60,4990E2
Bottrop-Welheim,51.5279461,6.9815741,7,4990E2
Gelsenkirchen-Bismarck,51.537813,7.1266111,137,4990E2
Essen-Vogelheim,51.4987931,6.9883526,49,4990E2
Hattingen-Blankenstein,51.40691,7.2238237,26,4990E2
Wesel-Feldmark,51.6766655,6.6162508,49,4990E2
Duisburg-Walsum,51.5245661,6.759131,56,4990E2
Mülheim-Styrum,51.4545206,6.85416,35,4990E2
Essen-Ost Steeler Straße,51.447383,7.044308,46,4990E2
Köln-Chorweiler,51.021167,6.8980335,62,4990E2
Hürth,50.8807379,6.876568,66,4990E2
Köln-Rodenkirchen,50.863634,6.9692339,27,4990E2
Bonn-Auerberg,50.7546556,7.0955073,49,4990E2
Simmerath (Eifel),50.6209722,6.2786293,41,4990E2
Netphen (Rothaargebirge),50.9303309,8.191922236,70,4990E2
Nettetal-Kaldenkirchen,51.3207251,6.1979173,99,4990E2
Bielefeld-Ost,52.0017677,8.6214358,42,4990E2
Soest-Ost,51.5522685,8.1568395,35,4990E2
Düsseldorf-Lörick,51.2445754,6.717332194,111,4990E2
Ratingen-Tiefenbroich,51.3128417,6.8229196,98,4990E2
Leverkusen-Manfort,51.0299248,7.0080874,13,4990E2
Solingen-Wald,51.1838092,7.0411275,5,4990E2
Borken-Gemen,51.8605718,6.8642563,33,4990E2
Düsseldorf Corneliusstraße,51.2095956,6.7825474,44,4990E2
